French,English
partie,part
histoire,history
seulement,only
demande,request
genre,kind
frère,brother
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
devrait,should
bébé,baby
longtemps,long time
heures,hours
aucune,any
place,square
compris,understood
savais,knew
pourrais,could
affaire,case
donner,give
type,type
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
perdu,lost
main,hand
côté,side
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
